🏰 Big Ben (relógio, torre)
🏇 Wellington Arch (quadriga, monumento)
⛪ St. Bartholomew-the-Great (igreja, antiga)
✝️ Temple Church (cruzados, templários)
🌊 Southwark Cathedral (gótico, rio)
🧱 Westminster Cathedral (bizantino, tijolo-vermelho)
🙂 National Portrait Gallery (retratos, rostos)
🌻 Courtauld Gallery (impressionismo, quadros)
✏️ The Cartoon Museum (charges, quadrinhos)
🦄 The Viktor Wynd Museum (curiosidades, bizarro)
🦴 Grant Museum of Zoology (esqueletos, potes)
🩺 Hunterian Museum (anatomia, cirurgia)
🕌 Leighton House Museum (árabe, azulejos)
🕰️ Sambourne House (vitoriano, preservado)
✒️ Charles Dickens Museum (literatura, escritor)
🛋️ Freud Museum London (divã, psicanálise)
📦 Museum of Brands (embalagens, marcas)
🩹 The Florence Nightingale Museum (enfermagem, hospital)
⛓️ The Clink Prison Museum (prisão, tortura)
🚧 Brunel Museum (engenharia, túnel)
🦭 Horniman Museum (morsa, taxidermia)
🎨 Whitechapel Gallery (vanguarda, comunidade)
🏛️ Serpentine North Gallery (pavilhão, moderno)
📽️ BFI Southbank (cinema, mediateca)
🎭 National Theatre (palcos, concreto)
🎼 Royal Opera House (balé, canto)
🌐 London Coliseum (teatro, globo)
🎟️ The Old Vic (história, drama)
🌴 Barbican Conservatory (selva, estufa)
🍸 Skyline London (terraço, coquetéis)
👀 The Lookout (observatório, cidade)
🍽️ Oxo Tower Wharf (restaurante, design)
🛶 Gabriel's Wharf (artesãos, chalés)
🚶 Bankside Promenade (calçadão, passeio)
🏬 Hay's Galleria (galeria, teto-vidro)
⛵ St. Katharine Docks (marina, iates)
🏴‍☠️ Wapping (docas, piratas)
🍺 Islington (pubs, residencial)
😇 Angel (antiquários, canal)
🏭 Hackney Wick (estúdios, galpões)
🎧 Shoreditch (hipster, balada)
🍹 Hoxton Square (praça, bares)
🎷 Dalston (alternativa, jazz)
🌃 Peckham Levels (estacionamento, rooftops)
🌶️ Brixton Village (caribenho, temperos)
🎶 Electric Avenue (comércio, música)
🎪 Clapham Common (lagoas, festivais)
☮️ Battersea Park (pagode-paz, fontes)
🌱 Chelsea Physic Garden (remédios, plantas)
🥕 Fulham Palace (bispo, horta)
🥾 Barnes Trail (trilha, natureza)
🌊 Richmond Riverside (pub, rio)
🎸 Eel Pie Island (rock, artistas)
👑 Kingston upon Thames (comércio, coroas)
🌿 Hampton Court Maze (sebes, labirinto)
⛲ Bushy Park (fontes, cervos)
🌾 Wimbledon Common (moinho, planície)
🏰 Alexandra Palace (palácio, colina)
🌲 Highgate Wood (antiga, floresta)
🌅 Waterlow Park (lagoas, terraço)
🚣 Regent's Canal (caminhada, água)
🔒 Camden Lock (comida, eclusa)
🌄 Primrose Hill Viewpoint (horizonte, vista)
🏘️ Maida Vale (residencial, canais)
💼 St. John's Wood (elegante, ruas)
👜 Marylebone High Street (charme, boutiques)
📖 Daunt Books (livraria, carvalho)
☕ Wallace Collection Courtyard (café, vidro)
🎨 Fitzrovia (artistas, tavernas)
🌼 Bloomsbury Square (praça, jardins)
📚 British Library (livros, manuscritos)
📖 Wellcome Reading Room (leitura, sofás)
🏗️ Coal Drops Yard (arquitetura, compras)
💦 Granary Square (fontes, luzes)
⛪ St. Pancras Old Church (igreja, cemitério)
🍜 Exmouth Market (rua, restaurantes)
🥩 Smithfield Market (carne, histórico)
🦸 Postman's Park (heróis, azulejos)
🏺 Guildhall Art Gallery (anfiteatro, romano)
🌿 St. Dunstan in the East (ruínas, trepadeiras)
🔥 The Monument (incêndio, escadaria)
⚙️ Lloyd's of London (high-tech, tubulações)
🥒 The Gherkin (pepino, vidro)
🏙️ 20 Fenchurch Street (talkie, prédio)
🍻 Broadgate Circle (anfiteatro, bares)
🧥 Old Spitalfields Market (mercado, roupas)
